Time (t),Amplitude (h),Frequency (f)
-3.693693693693694,0.32986115538319133,13.141278271982088
-3.673673673673674,0.39356327362567567,13.180129374143739
-3.653653653653654,0.4419867089680547,13.219419014063948
-3.633633633633634,0.4730657348873044,13.25915110002584
-3.613613613613614,0.48541392225204644,13.299329549129165
-3.593593593593594,0.4783852283906626,13.339958286574106
-3.573573573573573,0.45210587095206467,13.38104124492418
-3.553553553553553,0.40747547279592183,13.42258236334802
-3.533533533533533,0.34613718491034096,13.4645855868398
-3.513513513513513,0.2704177366874925,13.507054865418006
-3.493493493493493,0.18323957711877947,13.549994153302357
-3.473473473473473,0.0880084076568379,13.593407408068686
-3.453453453453453,-0.011519578614754838,13.63729858978142
-3.433433433433433,-0.11138558793316412,13.681671660103628
-3.413413413413413,-0.20758543477981303,13.726530581384285
-3.393393393393393,-0.2962298360325062,13.771879315722614
-3.373373373373373,-0.37370138370270967,13.817721824009311
-3.353353353353353,-0.4368018713685531,13.864062064944463
-3.333333333333333,-0.4828839855976844,13.910903994031973
-3.313313313313313,-0.5099619528242522,13.958251562550398
-3.293293293293293,-0.5167965330167394,14.006108716499934
-3.273273273273273,-0.5029507436974096,14.054479395525528
-3.253253253253253,-0.46881384317743763,14.103367531815893
-3.233233233233233,-0.4155923555324216,14.152777048978404
-3.213213213213213,-0.34526823243171456,14.202711860889671
-3.193193193193193,-0.26052556626098405,14.253175870521783
-3.173173173173173,-0.164648542159683,14.304172968744117
-3.153153153153153,-0.06139449217910535,14.355707033100643
-3.133133133133133,0.045153055200042945,14.407781926562695
-3.113113113113113,0.1507455949671534,14.460401496257191
-3.093093093093093,0.2511387810339215,14.513569572170244
-3.073073073073073,0.34226275469470896,14.567289965826225
-3.053053053053053,0.42038684163337936,14.621566468942277
-3.033033033033033,0.4822719640948244,14.6764028520583
-3.013013013013013,0.525304554247069,14.731802863142502
-2.992992992992993,0.5476064470224211,14.78777022617258
-2.972972972972973,0.5481161501011055,14.844308639692613
-2.952952952952953,0.5266380001263123,14.901421775345847
-2.932932932932933,0.48385697466621913,14.959113276383412
-2.9129129129129128,0.4213182894924778,15.017386756149254
-2.8928928928928928,0.34137231665773515,15.076245796541357
-2.8728728728728727,0.2470867545865406,15.135693946449567
-2.8528528528528527,0.14212931086197386,15.195734720170154
-2.8328328328328327,0.030625367719742884,15.256371595797464
-2.8128128128128127,-0.08300386003522661,15.31760801359284
-2.7927927927927927,-0.19421633797721044,15.379447374331248
-2.7727727727727727,-0.2985304797605441,15.441893037625805
-2.7527527527527527,-0.3917054468955734,15.504948320230689
-2.7327327327327327,-0.4699132386867363,15.568616494322745
-2.7127127127127126,-0.5298956015953206,15.632900785762235
-2.6926926926926926,-0.5690993403307035,15.697804372333175
-2.6726726726726726,-0.5857844279575783,15.763330381963724
-2.6526526526526526,-0.5791003586394459,15.829481890927156
-2.6326326326326326,-0.5491274241987872,15.89626192202388
-2.6126126126126126,-0.49688097634496453,15.963673442745197
-2.5925925925925926,-0.42427820595628146,16.03171936341925
-2.5725725725725725,-0.3340684709554136,16.100402535339878
-2.5525525525525525,-0.22972967514341547,16.169725748879046
-2.5325325325325325,-0.11533458260730414,16.239691731583463
-2.5125125125125125,0.004607810182083975,16.310303146256175
-2.4924924924924925,0.12532968052750007,16.381562589023897
-2.4724724724724725,0.24199359686745583,16.453472587390827
-2.4524524524524525,0.3498860503779503,16.52603559827978
-2.4324324324324325,0.4446075704724109,16.599254006061557
-2.4124124124124124,0.5222517687688911,16.67313012057332
-2.3923923923923924,0.5795660387635165,16.74766617512703
-2.3723723723723724,0.6140873159993364,16.82286432450882
-2.3523523523523524,0.6242472511357949,16.898726642970317
-2.3323323323323324,0.60944233015636,16.97525512221297
-2.3123123123123124,0.5700658464651485,17.052451669366405
-2.2922922922922924,0.507500135345881,17.13031810496191
-2.2722722722722724,0.42406906286148777,17.208856160902243
-2.2522522522522523,0.3229523559118644,17.288067478428804
-2.2322322322322323,0.20806490396407673,17.36795360608752
-2.2122122122122123,0.08390559357349445,17.448515997694525
-2.1921921921921923,-0.04461850408401326,17.529756010303032
-2.1721721721721723,-0.17238573674714738,17.611674902172602
-2.1521521521521523,-0.2942636407998301,17.694273830742198
-2.1321321321321323,-0.4053147831244149,17.77755385060834
-2.1121121121121122,-0.5009964327874616,17.86151591150982
-2.0920920920920922,-0.5773460015631253,17.946160856320326
-2.0720720720720722,-0.6311446984815264,18.0314894190505
-2.052052052052052,-0.66005265696176,18.117502222860868
-2.032032032032032,-0.6627098834865581,18.204199778087172
-2.012012012012012,-0.63879870267557,18.291582480279686
-1.9919919919919913,-0.5890648837114361,18.379650608258004
-1.9719719719719713,-0.5152962682589929,18.46840432218297
-1.9519519519519513,-0.4202594156904606,18.557843661647347
-1.9319319319319312,-0.3075964700397122,18.647968543786867
-1.9119119119119112,-0.18168606684792799,18.738778761413315
-1.8918918918918912,-0.04747357158161355,18.83027398117138
-1.8718718718718712,0.08972278564710852,18.922453741720954
-1.8518518518518512,0.22442229443886874,19.015317451946604
-1.8318318318318312,0.3512003591519002,19.108864389195993
-1.8118118118118112,0.4649066000047211,19.203093697548972
-1.7917917917917912,0.5608737054397562,19.298004386119185
-1.7717717717717711,0.6351085816463006,19.393595327389885
-1.7517517517517511,0.6844579874563406,19.489865255585876
-1.7317317317317311,0.7067418037368673,19.58681276508328
-1.711711711711711,0.7008483299146078,19.684436308859055
-1.691691691691691,0.666787478762532,19.78273419698199
-1.671671671671671,0.6056993966200781,19.881704595147088
-1.651651651651651,0.5198178047932257,19.98134552325509
-1.631631631631631,0.41238916893099803,20.081654854039087
-1.611611611611611,0.28755058437876607,20.182630311739878
-1.591591591591591,0.15017094515905685,20.284269470832065
-1.571571571571571,0.0056614741186297385,20.3865697548026
-1.551551551551551,-0.14023703003944094,20.489528434983626
-1.531531531531531,-0.2816818797951827,20.593142629441356
-1.511511511511511,-0.4129621045548507,20.697409301922914
-1.491491491491491,-0.5287286497700653,20.80232526086269
-1.471471471471471,-0.6242119058114266,20.907887158450148
-1.451451451451451,-0.6954177368597414,21.01409148976068
-1.431431431431431,-0.7392939717248688,21.120934591951304
-1.411411411411411,-0.7538604390246659,21.22841264352279
-1.391391391391391,-0.7382970362402882,21.336521663649933
-1.3713713713713709,-0.6929859616570607,21.44525751158153
-1.3513513513513509,-0.6195060461898391,21.554615886111698
-1.3313313313313309,-0.5205790273913667,21.664592325124005
-1.3113113113113108,-0.39996953488807185,21.775182205209973
-1.2912912912912908,-0.26234242793958,21.886380741363404
-1.2712712712712708,-0.11308286624194178,21.998182986751907
-1.2512512512512508,0.041913966394011334,22.110583832567038
-1.2312312312312308,0.19647529261140897,22.223578007954345
-1.2112112112112108,0.3443961786830954,22.337160080024596
-1.1911911911911908,0.47968823524442933,22.451324453947393
-1.1711711711711708,0.5968216292544795,22.566065373128314
-1.1511511511511507,0.6909506432108732,22.68137691947071
-1.1311311311311307,0.7581135992698051,22.797253013723125
-1.1111111111111107,0.795398920646797,22.913687415913373
-1.0910910910910907,0.8010703951892958,23.030673725870106
-1.0710710710710707,0.7746462871756676,23.148205383832746
-1.0510510510510507,0.7169287520866583,23.26627567115049
-1.0310310310310307,0.629981974574572,23.384877711071123
-1.0110110110110107,0.5170594945223327,23.504004469620178
-0.9909909909909906,0.38248322853817973,23.623648756571008
-0.9709709709709706,0.2314786525052705,23.74380322650623
-0.9509509509509506,0.06997240565068982,23.86446037997083
-0.9309309309309306,-0.09563986531288828,23.98561256471729
-0.9109109109109106,-0.25874634650581985,24.10725197704288
-0.8908908908908906,-0.4127826033068056,24.229370663219225
-0.8708708708708706,-0.5514953447448668,24.351960521014167
-0.8508508508508505,-0.6691958246462187,24.475013301305864
-0.8308308308308305,-0.7609926290520036,24.598520609788913
-0.8108108108108105,-0.8229943440877415,24.722473908772315
-0.7907907907907905,-0.8524737305174819,24.846864519068813
-0.7707707707707705,-0.8479865083485801,24.971683621975316
